Date,Open,High,Low,Close,Volume
08/27/2024,"883.50","888.00","878.70","886.13","300,431"
08/26/2024,"882.76","889.00","878.78","883.14","413,854"
08/23/2024,"869.50","884.66","867.03","882.84","416,346"
08/22/2024,"863.09","868.74","858.98","865.24","327,417"
08/21/2024,"861.88","864.92","853.76","863.09","453,730"
08/20/2024,"869.45","871.99","859.73","860.97","348,724"
08/19/2024,"873.59","877.02","866.31","870.21","456,067"
08/16/2024,"872.25","874.87","868.70","872.49","395,236"
08/15/2024,"864.52","875.83","863.03","872.06","520,789"
08/14/2024,"856.03","859.62","851.38","857.52","325,149"
08/13/2024,"844.48","856.21","843.70","854.59","385,850"
08/12/2024,"854.14","857.00","835.45","838.27","510,339"
08/09/2024,"853.42","862.21","849.80","856.21","290,379"
08/08/2024,"846.20","855.79","843.62","854.83","381,506"
08/07/2024,"852.26","856.40","838.47","839.84","750,874"
08/06/2024,"834.52","852.23","829.50","840.96","525,216"
08/05/2024,"824.69","848.92","813.18","830.76","1,328,900"
08/02/2024,"855.00","858.20","839.29","846.02","479,910"
08/01/2024,"880.00","884.67","860.32","865.35","586,568"
07/31/2024,"875.32","885.10","871.90","876.50","656,942"
07/30/2024,"868.13","873.89","865.18","872.59","539,579"
07/29/2024,"858.00","865.17","852.37","862.15","612,694"
07/26/2024,"841.97","857.65","841.10","856.20","555,814"
07/25/2024,"824.96","848.58","822.43","836.54","587,524"
07/24/2024,"844.08","846.24","826.11","827.65","660,358"
07/23/2024,"841.81","850.99","839.02","844.69","701,557"
07/22/2024,"836.55","845.50","835.04","843.24","573,228"
07/19/2024,"833.67","833.67","825.06","830.70","1,036,152"
07/18/2024,"835.17","851.88","828.79","829.00","718,023"
07/17/2024,"846.31","848.62","835.89","841.09","692,007"
07/16/2024,"824.50","845.53","820.95","843.94","744,760"
07/15/2024,"829.98","836.21","818.44","822.96","888,305"
07/12/2024,"829.39","837.54","825.40","827.97","677,070"
07/11/2024,"817.97","825.93","815.81","824.87","634,133"
07/10/2024,"801.76","812.29","801.76","812.00","519,073"
07/09/2024,"793.51","803.39","791.52","802.28","629,528"
07/08/2024,"790.60","793.28","785.76","790.19","529,582"
07/05/2024,"791.14","791.18","782.90","790.60","341,478"
07/03/2024,"789.13","790.63","786.00","789.12","250,799"
07/02/2024,"782.67","789.66","782.67","789.13","367,332"
07/01/2024,"790.83","794.10","777.63","782.27","543,517"
06/28/2024,"784.49","792.33","781.20","787.32","769,459"
06/27/2024,"784.65","787.05","780.34","781.13","428,580"
06/26/2024,"789.28","791.12","784.52","787.45","529,002"
06/25/2024,"794.46","795.26","788.58","794.39","394,046"
06/24/2024,"788.58","806.47","788.58","798.95","528,676"
06/21/2024,"783.72","791.15","779.89","787.60","872,955"
06/20/2024,"782.02","784.05","777.52","782.83","496,885"
06/18/2024,"778.94","784.12","777.02","783.65","479,732"
06/17/2024,"767.21","783.94","766.05","781.08","541,652"
06/14/2024,"764.50","769.97","759.99","769.33","376,815"
06/13/2024,"766.96","772.75","758.20","769.71","462,480"
06/12/2024,"769.35","782.56","766.09","770.11","833,246"
06/11/2024,"762.01","763.37","752.30","757.63","498,980"
06/10/2024,"766.74","768.86","760.25","766.17","588,940"
06/07/2024,"767.69","774.01","763.21","768.69","468,160"
06/06/2024,"787.69","787.69","776.53","778.53","406,332"
06/05/2024,"788.75","789.08","779.44","788.88","539,842"
06/04/2024,"777.37","786.87","774.62","785.29","666,466"
06/03/2024,"779.49","779.70","768.72","777.37","570,972"
05/31/2024,"763.06","774.29","762.08","772.03","1,616,051"
05/30/2024,"754.96","762.41","753.83","761.86","649,985"
05/29/2024,"763.29","765.93","756.33","756.58","574,948"
05/28/2024,"781.90","783.64","765.48","771.41","636,215"
05/24/2024,"787.38","789.39","780.92","781.90","429,047"
05/23/2024,"798.44","798.44","781.81","784.55","538,309"
05/22/2024,"803.54","808.87","795.55","799.61","391,642"
05/21/2024,"804.62","806.67","800.23","804.93","461,858"
05/20/2024,"808.98","812.81","804.20","805.19","366,351"
05/17/2024,"810.43","813.45","806.31","812.22","394,388"
05/16/2024,"811.39","815.00","807.66","807.71","486,278"
05/15/2024,"809.12","818.18","807.68","815.70","667,340"
05/14/2024,"792.52","803.31","792.17","802.96","492,227"
05/13/2024,"799.00","800.49","789.81","790.33","416,812"
05/10/2024,"792.53","799.23","792.08","796.67","607,147"
05/09/2024,"777.90","791.51","777.90","789.13","654,816"
05/08/2024,"778.00","779.25","773.88","778.33","665,672"
05/07/2024,"780.47","786.27","776.68","780.92","777,419"
05/06/2024,"768.73","775.16","765.83","774.64","450,092"
05/03/2024,"765.70","771.55","762.70","763.91","558,283"
05/02/2024,"758.16","761.06","748.78","757.00","632,595"
05/01/2024,"755.00","765.83","750.92","751.58","614,845"
04/30/2024,"758.04","761.45","753.80","754.64","418,734"
04/29/2024,"763.36","769.40","755.85","761.28","495,122"
04/26/2024,"759.77","767.48","757.75","762.88","447,939"
04/25/2024,"754.31","760.64","748.02","757.65","510,302"
04/24/2024,"762.80","767.64","759.44","762.80","751,258"
04/23/2024,"763.26","769.42","760.94","766.62","460,957"
04/22/2024,"756.75","766.30","750.55","760.11","617,165"
04/19/2024,"751.39","755.43","745.55","749.98","867,880"
04/18/2024,"754.74","761.42","746.78","747.30","615,103"
